device_id,active_heartrate,bmi,workout_minutes,steps,lifestyle
01c99836-e48b-11ea-8204-0242ac110002,122.36614513322988,24.001442078098176,55.290771176379415,10345,0
01c99836-e48b-11ea-8204-0242ac110002,132.08213570805194,23.981473224271443,27.99672176043603,9140,0
01c99836-e48b-11ea-8204-0242ac110002,133.897419834453,24.01203323166733,6.403982740621206,8895,0
01c99836-e48b-11ea-8204-0242ac110002,130.27996931348147,24.184537499965806,21.06190942499232,10683,0
01c99836-e48b-11ea-8204-0242ac110002,130.45737338095134,24.504363282462865,11.171669668342071,8752,0
01c99836-e48b-11ea-8204-0242ac110002,136.26823209734053,24.880787811951734,36.322123198181856,8581,0
01c99836-e48b-11ea-8204-0242ac110002,127.33802451540777,23.662747181933334,23.757184390043182,6388,0
01c99836-e48b-11ea-8204-0242ac110002,129.20986100613382,22.781450746703168,0,6723,0
01c99836-e48b-11ea-8204-0242ac110002,124.09827579356201,24.947920304321936,37.33242567311174,9057,0
01c99836-e48b-11ea-8204-0242ac110002,117.5871148531541,23.97351606107311,34.86683134450769,11495,0
01c99836-e48b-11ea-8204-0242ac110002,136.1083482831425,25.886797905977627,56.35066117427874,12257,0
01c99836-e48b-11ea-8204-0242ac110002,114.59185087375721,22.56413506906228,55.98356029661769,12875,0
01c99836-e48b-11ea-8204-0242ac110002,119.51494673718103,24.473794571242056,32.504610586051,10679,0
01c99836-e48b-11ea-8204-0242ac110002,140.60149051304072,24.53246270144892,19.062362827372276,8861,0
01c99836-e48b-11ea-8204-0242ac110002,124.1433880428183,24.717900539387905,40.97236298514192,11828,0
01c99836-e48b-11ea-8204-0242ac110002,141.0137885000709,24.20908037313107,38.15782381812945,9103,0
01c99836-e48b-11ea-8204-0242ac110002,135.53676047590986,23.84140762144698,19.99173049450992,10497,0
01c99836-e48b-11ea-8204-0242ac110002,126.04766153393258,23.76487591720567,55.020533255782745,12672,0
01c99836-e48b-11ea-8204-0242ac110002,118.55271094468996,24.49074972702394,55.711845777381676,12648,0
01c99836-e48b-11ea-8204-0242ac110002,123.99970030200276,24.816743968632483,46.65934297821273,11062,0
01c99836-e48b-11ea-8204-0242ac110002,122.99801953024533,24.3975035262054,48.345308302385455,12590,0
01c99836-e48b-11ea-8204-0242ac110002,113.16823533994267,26.282361992370724,14.792962829782576,9890,0
01c99836-e48b-11ea-8204-0242ac110002,137.41545767160324,25.361520284276693,58.06234043529382,12189,0
01c99836-e48b-11ea-8204-0242ac110002,138.64676398133597,25.303084872608327,23.545841759152413,11321,0
01c99836-e48b-11ea-8204-0242ac110002,132.37552664203517,23.91888564547869,20.869527605085175,8299,0
01c99836-e48b-11ea-8204-0242ac110002,118.17823172453686,25.21601742232927,41.49243997866101,9985,0
01c99836-e48b-11ea-8204-0242ac110002,148.633327751741,24.129926606789027,64.79488213755913,12060,0
01c99836-e48b-11ea-8204-0242ac110002,127.11213329633212,25.39167002339733,0,7395,0
01c99836-e48b-11ea-8204-0242ac110002,124.52199574132567,24.62056251874936,36.23550052058304,10928,0
01c99836-e48b-11ea-8204-0242ac110002,145.20741150495883,25.74194487617835,26.08792225874651,8579,0
01c99836-e48b-11ea-8204-0242ac110002,121.96958140393545,25.31544276927733,59.64532907131371,14865,0
01c99836-e48b-11ea-8204-0242ac110002,129.87142974373003,24.701708754835362,38.42811479208555,9637,0
01c99836-e48b-11ea-8204-0242ac110002,132.98584733541654,24.002837601257756,9.84316531142651,7048,0
01c99836-e48b-11ea-8204-0242ac110002,113.51920093279081,23.451109148685664,23.13910111357939,9089,0
01c99836-e48b-11ea-8204-0242ac110002,125.3451919071372,24.509971530469237,0,6871,0
01c99836-e48b-11ea-8204-0242ac110002,130.61088337594404,25.18156664874984,11.630860113601857,7901,0
01c99836-e48b-11ea-8204-0242ac110002,130.3778892768766,24.026784491662745,107.00908958121344,10778,0
01c99836-e48b-11ea-8204-0242ac110002,129.01122920663735,23.749056292921736,62.705701480103585,13138,0
01c99836-e48b-11ea-8204-0242ac110002,122.7725621431902,24.710067088126433,52.429765723848725,11836,0
01c99836-e48b-11ea-8204-0242ac110002,132.7734875412913,24.10412436503729,33.406689734309374,9529,0
01c99836-e48b-11ea-8204-0242ac110002,137.13210539586322,24.136668202801854,21.450603395323235,10225,0
01c99836-e48b-11ea-8204-0242ac110002,132.90108428068316,24.57452884042826,39.019045390626985,11366,0
01c99836-e48b-11ea-8204-0242ac110002,124.4594182744028,23.479242590941734,10.428880077443015,8740,0
01c99836-e48b-11ea-8204-0242ac110002,124.0213750907471,24.233571641141012,3.071341929468254,6425,0
01c99836-e48b-11ea-8204-0242ac110002,134.95179606104637,24.30566308249388,9.65266144830834,7027,0
01c99836-e48b-11ea-8204-0242ac110002,147.57094746591738,23.92244981361618,82.27118915911038,12350,0
01c99836-e48b-11ea-8204-0242ac110002,127.63163270294501,24.84904116658845,65.98544904316087,13385,0
01c99836-e48b-11ea-8204-0242ac110002,127.55365209426297,23.178844667261725,54.282153925287325,10456,0
01c99836-e48b-11ea-8204-0242ac110002,126.85674152138058,23.188469999180978,18.279410371940095,8166,0
01c99836-e48b-11ea-8204-0242ac110002,135.3716066435499,23.501118508535107,60.97143356269921,10117,0
01c99836-e48b-11ea-8204-0242ac110002,141.15523549367023,24.59486877109581,62.49548380142769,14525,0
01c99836-e48b-11ea-8204-0242ac110002,122.21884786265483,24.2338742311381,4.378400198883308,8861,0
01c99836-e48b-11ea-8204-0242ac110002,126.5675889674213,24.0057015871612,29.142160446015627,7762,0
01c99836-e48b-11ea-8204-0242ac110002,116.63801153798734,25.58874107685519,0,6745,0
01c99836-e48b-11ea-8204-0242ac110002,119.78754226469383,22.795778037946125,9.600636016237962,7850,0
01c99836-e48b-11ea-8204-0242ac110002,129.48086426721406,23.714687548474316,0,6196,0
